date,tmax,tmin,tmed
12/1930,14.7,10.2,12.45
01/1931,13.4,8.5,10.95
02/1931,14.3,8.8,11.55
03/1931,16.2,11.5,13.85
04/1931,18.4,11.7,15.05
05/1931,19,12.5,15.75
06/1931,24.2,16,20.1
07/1931,25.3,16.5,20.9
08/1931,24.6,16.8,20.7
09/1931,24.4,16.4,20.4
10/1931,21.2,14.3,17.75
11/1931,17.4,11.6,14.5
12/1931,13.2,6.1,9.65
01/1932,13.2,7.2,10.2
02/1932,13.1,6.2,9.65
03/1932,16.2,10.2,13.2
04/1932,16.4,9.8,13.1
05/1932,19.2,12.1,15.65
06/1932,22.3,14.9,18.6
07/1932,25.2,16.5,20.85
08/1932,27.2,18.5,22.85
09/1932,24.6,17.3,20.95
10/1932,19.5,13.8,16.65
11/1932,16.8,11.4,14.1
12/1932,14.1,9.2,11.65
01/1933,12.4,7,9.7
02/1933,13.8,6.7,10.25
03/1933,15.9,10.2,13.05
04/1933,20.3,11.8,16.05
05/1933,22.2,14.8,18.5
06/1933,22.4,14.8,18.6
07/1933,27.4,17.8,22.6
08/1933,28.2,18.4,23.3
09/1933,22.9,16.7,19.8
10/1933,19.8,14,16.9
11/1933,14.9,9.3,12.1
12/1933,11,5.8,8.4
01/1934,11.3,6.2,8.75
02/1934,14.3,5.3,9.8
03/1934,14.2,8.4,11.3
04/1934,15.5,9.5,12.5
05/1934,21.3,12.9,17.1
06/1934,24.8,15.1,19.95
07/1934,26.9,16.9,21.9
08/1934,25.6,16,20.8
09/1934,25.4,16.3,20.85
10/1934,23.3,14.6,18.95
11/1934,15,7.9,11.45
12/1934,15.7,10.9,13.3
01/1935,12.4,5.4,8.9
02/1935,14.3,7,10.65
03/1935,17.8,9.6,13.7
04/1935,18.3,10.2,14.25
05/1935,18,10.9,14.45
06/1935,22.8,14.2,18.5
07/1935,26.8,16.7,21.75
08/1935,27.5,16.9,22.2
09/1935,26,16,21
10/1935,20.6,12.5,16.55
11/1935,16.1,10.3,13.2
12/1935,14.6,10,12.3
01/1936,14.9,10.6,12.75
02/1936,14.9,10.1,12.5
03/1936,14.6,10,12.3
04/1936,17.3,11.4,14.35
05/1936,18,11.3,14.65
06/1936,20.9,13.4,17.15
07/1936,25.2,15.9,20.55
08/1936,28.7,17.6,23.15
09/1936,25.6,16.6,21.1
10/1936,21.4,13.2,17.3
11/1936,15.9,9.8,12.85
12/1936,13.5,6.7,10.1
01/1937,13.7,7.8,10.75
02/1937,16.1,10,13.05
03/1937,14.6,9.3,11.95
04/1937,19.4,12.1,15.75
05/1937,21.8,12.8,17.3
06/1937,22.7,14.4,18.55
07/1937,27.9,17.4,22.65
08/1937,27.6,17.2,22.4
09/1937,25.3,16.2,20.75
10/1937,20.7,14.4,17.55
11/1937,17.4,12.9,15.15
12/1937,13.4,8.3,10.85
01/1938,13.3,7.9,10.6
02/1938,14.7,7.9,11.3
03/1938,19.2,10.4,14.8
04/1938,20.5,12.4,16.45
05/1938,20.3,13.1,16.7
06/1938,25.7,16.2,20.95
07/1938,26.2,16.5,21.35
08/1938,26.6,17.3,21.95
09/1938,22.6,15.5,19.05
10/1938,22.2,14.8,18.5
11/1938,18.7,12.9,15.8
12/1938,13.8,9,11.4
01/1939,14.6,10.4,12.5
02/1939,15.2,9,12.1
03/1939,16.2,9.2,12.7
04/1939,17.4,11,14.2
05/1939,21.6,13.5,17.55
06/1939,22.1,15,18.55
07/1939,25.8,16.7,21.25
08/1939,24.8,17.2,21
09/1939,25,17.2,21.1
10/1939,19.4,14.2,16.8
11/1939,16.6,11.1,13.85
12/1939,14.3,10.2,12.25
01/1940,13.7,9,11.35
02/1940,15.2,10.5,12.85
03/1940,17.4,12,14.7
04/1940,18.8,12.3,15.55
05/1940,19.8,12.9,16.35
06/1940,24.4,15.4,19.9
07/1940,25.6,16.4,21
08/1940,30,19.2,24.6
09/1940,25.4,17,21.2
10/1940,19.6,13.6,16.6
11/1940,16.3,10.7,13.5
12/1940,12.8,6.9,9.85
01/1941,11.9,7.2,9.55
02/1941,14,9.3,11.65
03/1941,15.9,10.1,13
04/1941,17.5,11.4,14.45
05/1941,19.3,11.6,15.45
06/1941,25.7,15.9,20.8
